# I energy_spread Eo(eV) omega_s To R sigma_z td
# 0.00044 0.001017 2.75e+09 9217.43 1.181e-06 5.36 0.00145 0.00327
# resistance : 0 inductance : 0
# nq Lq dq np Lp dp
# 480 20 0.0416667 480 20 0.0416667
# nt ntint ntot t1 t2 dt
# 8000 10 80000 0 63.118 0.000788975
# bolometer cutoff : 2.5 cm-1
# t aire val.moy rms_z rms_E thz thz_lp thz_hp thz_lp_hp thz_lp_hp2 feedback DiffWithCI numprocs numthreads niter wc_time
1.36493 1 0.00320127 1.23704 1.13907 0.0502537 0.154407 0.0386157 0.147033 0 0 0 1 1 1730 18.8993
1.37282 1 0.00322709 1.23703 1.13894 0.0503435 0.153381 0.0386864 0.145964 0 0 0 1 1 1740 19.0085
1.38071 1 0.00325288 1.23702 1.13882 0.0504688 0.152365 0.0387925 0.144907 0 0 0 1 1 1750 19.1177
1.3886 1 0.00327864 1.237 1.1387 0.0506285 0.151361 0.0389329 0.143861 0 0 0 1 1 1760 19.2271
1.39649 1 0.00330437 1.23697 1.13859 0.0508214 0.150369 0.0391064 0.142827 0 0 0 1 1 1770 19.3364
1.40438 1 0.00333006 1.23694 1.13848 0.0510463 0.149389 0.0393119 0.141805 0 0 0 1 1 1780 19.4455
1.41227 1 0.00335571 1.2369 1.13838 0.0513022 0.14842 0.0395482 0.140796 0 0 0 1 1 1790 19.5546
1.42016 1 0.00338132 1.23685 1.13829 0.0515877 0.147464 0.0398141 0.139799 0 0 0 1 1 1800 19.6638
1.42804 1 0.0034069 1.2368 1.13821 0.0519019 0.146521 0.0401085 0.138815 0 0 0 1 1 1810 19.773
1.43593 1 0.00343243 1.23675 1.13813 0.0522435 0.145589 0.0404301 0.137843 0 0 0 1 1 1820 19.8821
1.44382 1 0.00345792 1.23668 1.13805 0.0526113 0.144671 0.0407777 0.136884 0 0 0 1 1 1830 19.9912
1.45171 1 0.00348336 1.23661 1.13799 0.0530041 0.143765 0.0411503 0.135939 0 0 0 1 1 1840 20.1003
1.4596 1 0.00350877 1.23654 1.13793 0.053421 0.142872 0.0415466 0.135006 0 0 0 1 1 1850 20.2097
